Plant #,Long,Lat
QH-E-5,-100.275868,35.90300335
QH-E-5-1,-100.2753586,35.90274641
QH-E-5-2,-100.275288,35.902767
QH-E-5-3,-100.2752201,35.9028146
QH-E-5-4,-100.2751642,35.90285215
QH-E-5-5,-100.2752908,35.90280303
QH-E-5-6,-100.2752966,35.9028201
QH-E-5-7,-100.2750854,35.9029152
QH-E-5-8,-100.2750318,35.90295724
QH-E-5-9,-100.2749351,35.90300965
QH-E-5-10,-100.2748692,35.90304731
QH-E-5-11,-100.274839,35.903026
QH-E-5-12,-100.2747697,35.90305739
QH-E-5-13,-100.2747665,35.90306824
QH-E-5-14,-100.2746943,35.90305368
QH-E-5-15,-100.2746943,35.90305368
QH-E-5-16,-100.2745505,35.90307414
QH-E-5-17,-100.2745625,35.90305778
QH-E-5-18,-100.2745699,35.90303787
QH-E-5-19,-100.2745758,35.9032704
QH-E-5-20,-100.2745468,35.90325809
QH-E-5-21,-100.2744489,35.90323389
QH-E-5-22,-100.275868,35.90300335
QH-E-5-23,-100.275548,35.90246492
QH-E-5-24,-100.2755193,35.90246974
QH-E-5-25,-100.2753749,35.90245144
QH-E-5-26,-100.2753317,35.90217242
QH-E-5-27,-100.2753299,35.90213007
QH-E-5-28,-100.2751944,35.90217929
QH-E-5-29,-100.276402,35.90361433
QH-E-5-30,-100.2764024,35.90364137
QH-E-5-31,-100.2763719,35.90365204
QH-E-5-32,-100.2763723,35.90367908
QH-E-5-33,-100.2774168,35.90256586
QH-E-5-34,-100.275868,35.90300335
QH-E-5-35,-100.275868,35.90300335
QH-E-5-36,-100.275868,35.90300335
QH-E-5-37,-100.275868,35.90300335
QH-E-5-38,-100.275868,35.90300335
QH-E-5-39,-100.275868,35.90300335
QH-E-5-40,-100.275868,35.90300335
QH-E-5-41,-100.275868,35.90300335
QH-E-5-42,-100.275868,35.90300335
QH-E-5-43,-100.275868,35.90300335
QH-E-6,-100.1993396,35.44525957
QH-E-6-1,-100.1768678,35.44468101
QH-E-6-2,-100.176718,35.44468247
QH-E-6-3,-100.1766684,35.44468295
QH-E-6-4,-100.1765186,35.44468442
QH-E-6-5,-100.1764679,35.44468491
QH-E-6-6,-100.1763181,35.44468637
QH-E-6-7,-100.1762685,35.44468685
QH-E-6-8,-100.1761187,35.44468831
QH-E-6-9,-100.1760691,35.44468879
QH-E-6-10,-100.1759193,35.44469025
QH-E-6-11,-100.1758686,35.44469075
QH-E-6-12,-100.1757188,35.44469221
QH-E-6-13,-100.1756692,35.44469269
QH-E-6-14,-100.1755194,35.44469415
QH-E-6-15,-100.1755095,35.44469425
QH-E-6-16,-100.1993396,35.44525957
QH-E-7,-99.92558344,35.76709137
QH-E-7-1,-99.92558344,35.76709137
QH-E-7-2,-99.92558278,35.76703416
QH-E-7-3,-99.92558212,35.76697694
QH-E-7-4,-99.92558145,35.76691973
QH-E-7-5,-99.92558079,35.76686252
QH-E-7-6,-99.92558013,35.7668053
QH-E-7-7,-99.92557947,35.76674809
QH-E-7-8,-99.92591637,35.76575085
QH-E-7-9,-99.9259159,35.76570998
QH-E-7-10,-99.92591543,35.76566912
QH-E-7-11,-99.92591495,35.76562825
QH-E-7-12,-99.92591448,35.76558738
QH-E-7-13,-99.92591401,35.76554652
QH-E-7-14,-99.92591353,35.76550564
QH-E-7-15,-99.92591306,35.76546478
QH-E-7-16,-99.92591258,35.76542391
QH-E-7-17,-99.9255031,35.76521758
QH-E-7-18,-99.92550216,35.76513585
QH-E-7-19,-99.92550121,35.76505412
QH-E-7-20,-99.92550026,35.76497238
QH-E-7-21,-99.92549932,35.76489065
QH-E-7-22,-99.92549837,35.76480892
QH-E-7-23,-99.92549742,35.76472719
QH-E-7-24,-99.92549648,35.76464545
QH-E-7-25,-99.92549553,35.76456372
QH-E-7-26,-99.92549458,35.76448198
QH-E-7-27,-99.92549364,35.76440025
QH-E-8,-99.81720621,35.79435024
QH-E-8-1,-99.81718599,35.79432062
QH-E-8-2,-99.81714956,35.79432898
QH-E-8-3,-99.81716055,35.7943217
QH-E-8-4,-99.81711273,35.79440677
QH-E-8-5,-99.81708322,35.79444303
QH-E-8-6,-99.81704294,35.79450822
QH-E-8-7,-99.81700369,35.79456529
QH-E-8-8,-99.81692186,35.79467945
QH-E-8-9,-99.81696396,35.79479276
QH-E-8-10,-99.81693464,35.79495525
QH-E-8-11,-99.81689339,35.79503397
QH-E-8-12,-99.81685351,35.79513792
QH-E-8-13,-99.81684082,35.79519481
QH-E-8-14,-99.81673454,35.79529922
QH-E-8-15,-99.81663856,35.79532872
QH-E-8-16,-99.81653472,35.79534655
QH-E-8-17,-99.81650593,35.79534495
QH-E-8-18,-99.81768761,35.79478334
QH-E-8-19,-99.81720621,35.79435024
QH-E-8-20,-99.87111252,35.77386441
QH-E-8-21,-99.8710334,35.77391367
QH-E-8-22,-99.87095957,35.77394035
QH-E-8-23,-99.87086334,35.77394285
QH-E-8-24,-99.87077256,35.7739372
QH-E-8-25,-99.87071666,35.77398539
QH-E-8-26,-99.87067482,35.77400372
QH-E-8-27,-99.87039768,35.77374968
QH-E-8-28,-99.8703215,35.77376465
QH-E-8-29,-99.87028826,35.77376039
QH-E-8-30,-99.87021198,35.77376545
QH-E-8-31,-99.81720621,35.79435024
QH-E-10,-101.3319871,32.28616841
QH-E-10-1,-101.3344383,32.2861231
QH-E-10-2,-101.3344178,32.28532086
QH-E-10-3,-101.3369709,32.28594095
QH-E-10-4,-101.3385135,32.28648052
QH-E-10-5,-101.3383462,32.28575315
QH-E-10-6,-101.3389559,32.28799639
QH-E-10-7,-101.3273907,32.28950883
QH-E-10-8,-101.3331352,32.28705803
QH-E-10-9,-101.3347004,32.28640683
QH-E-13,-101.3906003,33.45861011
QH-E-13-1,-101.3906003,33.45861011
QH-E-13-2,-101.3906003,33.45861011
QH-E-13-3,-101.3906003,33.45861011
QH-E-13-4,-101.3906003,33.45861011
QH-E-13-5,-101.3906003,33.45861011
QH-E-13-6,-101.3906003,33.45861011
QH-E-13-7,-101.3906003,33.45861011
QH-E-13-8,-101.3906003,33.45861011
QH-E-14,-101.0739003,33.43528023
QH-E-14-1,-101.0739003,33.43528023
QH-E-14-2,-101.0739003,33.43528023
QH-E-14-3,-101.0739003,33.43528023
QH-E-14-4,-101.0739003,33.43528023
QH-E-14-5,-101.0739003,33.43528023
QH-E-14-6,-101.0739003,33.43528023
QH-E-14-7,-101.0739003,33.43528023
QH-E-14-8,-101.0739003,33.43528023
QH-E-14-9,-101.0739003,33.43528023
QH-E-14-10,-101.0739003,33.43528023
QH-E-14-11,-101.0739003,33.43528023
QH-E-14-12,-101.0739003,33.43528023
QH-E-AUX8,-100.1122789,35.44871235
QH-E-AUX8-1,-100.1119852,35.36103359
QH-E-AUX8-2,-100.1118345,35.36103407
QH-E-AUX8-3,-100.1118345,35.36103407
QH-E-AUX8-4,-100.1118338,35.36098503
QH-E-AUX8-5,-100.1118331,35.360936
QH-E-AUX8-6,-100.1118326,35.36089922
QH-E-AUX8-7,-100.1118315,35.36081748
QH-E-AUX8-8,-100.1118307,35.36076026
QH-E-AUX8-9,-100.1119852,35.36103359
QH-E-AUX8-10,-100.1119847,35.36099272
QH-E-AUX8-11,-100.1121501,35.43358269
QH-E-AUX8-12,-100.1121501,35.43358269
QH-E-AUX8-13,-100.1121563,35.43403345
