"","N","Lineage","nb_L","nb_all","SE","Fis","pval_2sides","Fis_WR","pval_2sides.1","R","Pareto_index","Sp_Loiselle","pval_2sides.2","Sp_L_WR","pval_2sides.3","Sp_Ritland","pval_2sides.4","Sp_R_WR","pval_2sides.5","H..","J.","D","V","Hill"
"1","20","MLG","18","5.36363636363636","0.866263945423389","0.0944157261651908","NA","0.0969702327518655","NA","0.894736842105263","1.72683302786084","0.104178957323188","NA","-0.228138502980963","NA","0.514098777003293","NA","0.267386673181197","NA","2.83094043025377","0.979438171757653","0.984210526315789","0","63.3333333333333"
"2","9","no_clone","9","5.36363636363636","0.677867341174809","0.187003442659914",NA,"0.187003442659914",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","5","no_clone","5","3.36363636363636","0.387831436503664","0.112611825828011",NA,"0.112611825828011",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","25","MLG","22","5.09090909090909","0.985850306307342","0.0777686249122281","NA","0.0616996313420457","NA","0.875","2.05889368905357","4.60123707324465","NA","-2.87965831366354","NA","2.16056846156865","NA","-2.43522347396546","NA","3.05252050153381","0.987537553299325","0.99","0.698412698412693","100"
"5","27","MLG","20","5.18181818181818","0.88233349516734","0.126079744271469","NA","0.103548347013719","NA","0.730769230769231","1.89818101218276","3.45005962867488","NA","0.803773450193378","NA","3.75377635333094","NA","0.10901220467077","NA","2.91704765594493","0.973734429373519","0.977207977207977","0.859291084854995","43.875"
"6","19","MLG","13","4.81818181818182","0.818181818181818","0.170567761447779","NA","0.244841229319205","NA","0.666666666666667","1.06067274487446","12.8352832112255","NA","-7.10232679156726","NA","20.4073438084047","NA","7.24634840761916","NA","2.40615957539782","0.93809242993364","0.941520467836257","0.662037037037037","17.1"
"7","32","MLG","17","5.54545454545455","0.743011517880093","0.0125969959661934","NA","0.00796713495858505","NA","0.516129032258065","0.682710281835157","59.2034745567211","NA","48.4579180479184","NA","35.9632193931922","NA","22.8565167267777","NA","2.56659891811451","0.905896805653187","0.923387096774194","0.774444444444445","13.0526315789474"
"8","14","MLG","11","5.45454545454545","0.59335159534839","0.106178715525508","NA","0.091961020582147","NA","0.769230769230769","1.22239242133645","122.733247497875","NA","-34.2852757943661","NA","120.570346673293","NA","3.54288087682685","NA","2.34199425223242","0.976687463710328","0.967032967032967","0.733333333333335","30.3333333333333"
"9","27","MLG","17","5.90909090909091","0.666804393486991","0.0791500619320796","NA","0.000696536242928537","NA","0.615384615384615","0.559064637907963","53.8873479466999","NA","34.5817869267115","NA","43.9609278814401","NA","27.4590765756858","NA","2.52567333204883","0.891451869428552","0.911680911680912","0.509999999999999","11.3225806451613"
"10","18","MLG","15","6.27272727272727","0.94475498594666","0.0308019263765932","NA","0.00120214438933492","NA","0.823529411764706","1.58496250072116","133.099586064865","NA","52.9506796593588","NA","90.2814859746483","NA","51.3390788953661","NA","2.65932269770952","0.982006425370969","0.980392156862745","0.714285714285711","51"
"11","11","MLG","8","3.45454545454545","0.389956556173222","0.159713671020799","NA","0.184164801857485","NA","0.7","0.874469117916141","210.913704488677","NA","NA","NA","104.381451364527","NA","NA","NA","2.01981499249295","0.971325691060918","0.945454545454545","0.76190476190476","18.3333333333333"
"12","4","MLG","3","2.54545454545455","0.340150671524904","0.102109185058887","NA","-0.000823446215129444","NA","0.666666666666667","1","NA","NA","NA","NA","NA","NA","NA","NA","1.03972077083992","0.946394630357186","0.833333333333333","1.99840144432528e-15","6"
"13","11","MLG","6","3.09090909090909","0.475863721029178","0.175125613939448","NA","0.241361926815192","NA","0.5","1.08648194276826","359.519816994974","NA","NA","NA","295.250233219704","NA","NA","NA","1.72019345921983","0.960058249314534","0.890909090909091","0.863999999999999","9.16666666666667"
"14","11","MLG","8","4.27272727272727","0.506160396620911","0.134894472289216","NA","0.138049786531996","NA","0.7","0.874469117916141","0.688805984165766","NA","0.450987834929955","NA","0.720223335514839","NA","0.281975288048497","NA","2.01981499249295","0.971325691060918","0.945454545454545","0.76190476190476","18.3333333333333"
"15","9","MLG","8","4","0.447213595499958","0.464178255443273","NA","0.498073795226117","NA","0.875","2.16992500144231","9.27133010268482","NA","4.07301430925519","NA","6.10864619122933","NA","3.61518887548513","NA","2.04319187054512","0.982567593073364","0.972222222222222","0","36"
"16","17","no_clone","17","5","0.738548945875996","0.292236020959205",NA,"0.292236020959205",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","29","MLG","22","8.27272727272727","1.06250911517724","0.146586637506322","NA","0.110905823535755","NA","0.75","1.41676779897209","48.0406311591418","NA","26.5665023359376","NA","32.5167965696662","NA","19.5034484917868","NA","2.99658697428412","0.969442192884936","0.977832512315271","0.812439261418851","45.1111111111111"
"18","11","MLG","7","4.81818181818182","0.685143406596973","0.224388130833367","NA","0.251731728105847","NA","0.6","0.459431618637297","405.945695544977","NA","NA","NA","207.410995612747","NA","NA","NA","1.89378823239114","0.973214633425146","0.927272727272727","0.875","13.75"
"19","33","MLG","32","8.18181818181818","1.00741055834146","0.22068840526143","NA","0.214517970982832","NA","0.96875","4.04439411935845","5.16951007916953","NA","4.07245239827293","NA","3.56051236324001","NA","3.11570040433661","NA","3.45449864143254","0.996757611750479","0.998106060606061","-1.21021472413341e-13","528"
"20","10","MLG","3","2.72727272727273","0.140835758043906","-0.239129376933637","NA","-0.19207129327988","NA","0.222222222222222","0.185374335928916","1655.75954578472","NA","NA","NA","1784.54305332091","NA","NA","NA","0.801818552543337","0.729846699162098","0.511111111111111","0.36734693877551","2.04545454545455"
"21","30","MLG","27","9.54545454545454","1.40365520477228","0.10395401959003","NA","0.151304551051319","NA","0.896551724137931","2.14856616754534","3.57405558267281","NA","0.844873387722535","NA","5.91427116149738","NA","4.1687778959848","NA","3.24512634075801","0.984613763572651","0.990804597701149","0.461538461538464","108.75"
"22","33","MLG","31","9.63636363636364","1.55079291902109","0.167981997916748","NA","0.143392177984562","NA","0.9375","2.18265833864414","5.17158872110274","NA","1.67546929459204","NA","1.87703541091126","NA","0.950530663902966","NA","3.39663371704211","0.989122415076488","0.994318181818182","0","176"
"23","32","MLG","30","8.45454545454546","1.20878328280688","0.164444553170915","NA","0.168092176680712","NA","0.935483870967742","3","6.94228399433624","NA","7.82514540103479","NA","3.12612024841907","NA","2.80821397898373","NA","3.37909250522973","0.993500854566218","0.995967741935484","0.517241379310358","248"
"24","39","MLG","35","9.36363636363636","1.2811410203602","0.141680241316637","NA","0.157569631387595","NA","0.894736842105263","2.28540221886225","9.95920141015742","NA","7.11342992335908","NA","8.57222615023348","NA","6.60141244951954","NA","3.52137760909171","0.990445252670009","0.994601889338731","0.772058823529406","185.25"
"25","30","MLG","28","9.72727272727273","1.29397842535695","0.258242210079938","NA","0.262349308623805","NA","0.931034482758621","2.90689059560852","-0.397047827260329","NA","-3.23101863703224","NA","3.01872547062774","NA","1.19047363754582","NA","3.3087777575875","0.992969593397953","0.995402298850575","0.518518518518519","217.5"
